,count,mean,std,min,25%,50%,75%,max
R,12.0,4.6721885619642e-16,1.044465935734187,-2.051606462275961,-0.024642246686408874,0.2040605832159536,0.5619981056707737,1.361595931255766
CC,12.0,0.0,1.044465935734187,-1.0338952557389536,-0.7825437430910198,-0.31318020016375536,0.42641249324976294,2.0726928413883514
ER,12.0,-5.088522196198634e-16,1.044465935734187,-1.9020340751641158,-0.4203927588142762,0.2809823063741257,0.5554804047004567,1.2968414143835723
UR,12.0,5.273559366969494e-16,1.044465935734187,-1.7446921776189217,-0.48136995843548325,-0.1669090071466481,0.8312579860147145,1.6826034891792059
HI,12.0,-3.3306690738754696e-16,1.044465935734187,-1.5349907220408638,-0.798360054832961,-0.06825327454217173,0.4975877988723868,1.5931488249523473
