Date,HI
2020-01,5.911658224
2020-02,5.90180148
2020-03,5.962686534
2020-04,5.952729497
2020-05,5.879737954
2020-06,5.764848357
2020-07,5.7168794
2020-08,5.666667711
2020-09,5.597607441
2020-10,6.215875395
2020-11,6.226004114
2020-12,6.256878833
