Date,UR
2020-01,4.966666667
2020-02,5.311111111
2020-03,7.777777778
2020-04,11.27777778
2020-05,13.65555556
2020-06,11.72222222
2020-07,11.55555556
2020-08,11.47777778
2020-09,9.133333333
2020-10,8.8
2020-11,8.3
2020-12,8.7
