,R,CC,ER,UR,HI
R,1.0,0.3150214574303427,-0.45865241145095625,0.5523138213395599,-0.04412005916468813
CC,0.3150214574303427,1.0,0.2183587248028337,0.05350959048917586,0.6084837689558455
ER,-0.45865241145095625,0.2183587248028337,1.0,-0.845877710781604,0.19565779749110615
UR,0.5523138213395599,0.05350959048917586,-0.845877710781604,1.0,-0.32067587495496036
HI,-0.04412005916468813,0.6084837689558455,0.19565779749110615,-0.32067587495496036,1.0
