Date,ER
2020-01,56.47777778
2020-02,56.51111111
2020-03,52.96666667
2020-04,48.28888889
2020-05,48.48888889
2020-06,51.45555556
2020-07,52.31111111
2020-08,53.46666667
2020-09,54.33333333
2020-10,54.54444444
2020-11,54.78888889
2020-12,54.5
